id,title,subtitle,publication date,genres,naver rating,imdb rating,vote_count,critic_rating,director,actor,review
13341,배드 뉴스 베어즈,Bad News Bears,2005,코미디 가족,7.13,5.7,73,,리처드링클레이터,빌리밥손튼 그렉키니어 마샤게이하든,
24940,헤드 오버 힐스,Head Over Heels,2001,코미디 로맨스,7.37,5.3,73,,마크워터스,모니카포터 프레디프린즈주니어 차이나초 샬롬하로우,
21724,댄스 플릭,Dance Flick,2009,액션 코미디 음악,7.11,4.7,73,,데미언웨인스,쇼샤나부시 데이몬웨이언스주니어,
7916,파 크라이,Far Cry,2008,액션 SF 스릴러,5.94,3.1,73,,우베볼,틸슈바이거 엠마뉴엘보기어,
390497,터널,Tunnel,2016,드라마 스릴러,8.37,7.2,72,3.5,김성훈,하정우 배두나 오달수, 담백하고 탄력있는 연출. 설정마다 능수능란한 하정우. 그리고 부도덕하고 부실한 시스템이라는 악마에 대하여.
10858,닉슨,Nixon,1995,역사 드라마,7.95,7.1,72,,올리버스톤,안소니홉킨스,
14135,배드 보이 버비,Bad Boy Bubby,1993,범죄 드라마,9.75,7.1,72,,롤프드히어,니콜라스호프,
38368,엉클 분미,Uncle Boonmee Who Can Recall His Past Lives,2010,코미디 드라마 판타지,7.59,6.5,72,4.5,아피찻퐁위라세타쿤,사크다카에부아디 제니이라퐁파스 타나팟사이사이마르 낫사칸아파이원크, 영화가 다룰 수 없는 것은 없다(는 것을 보여준다).
16384,나의 푸른 하늘,My Blue Heaven,1990,액션 코미디,7.33,6,72,,허버트로스,스티브마틴 릭모라니스 조안쿠삭,
10090,르노 911! - 마이애미,Reno 911!: Miami,2007,액션 어드벤쳐 코미디 범죄,5.73,5.6,72,,로버트벤가랜트,토마스레논 로버트벤가랜트,
26564,크럼,Crumb,1994,다큐멘터리,8.78,7.6,71,,테리즈위고프,로버트크럼브 엘라인코민스키,
9065,유로파,Europa,1991,스릴러 드라마,7.53,7.3,71,,라스폰트리에,쟝마르바 바바라수코바 우도키에르 언스트-휴고재어거드 에릭모크,
13348,헬베티카,Helvetica,2007,다큐멘터리,8.08,7.3,71,,게리허스트윗 제프원포,,
14752,딜 차타 해,Dil Chahta Hai,2001,드라마 로맨스,8.25,7.1,71,,파르한악타르,아미르칸 사이프알리칸,
14325,더 익스프레스,The Express,2008,드라마,8.57,7.1,71,,게리플레더,롭브라운 데니스퀘이드,
17845,로프트,Loft,2008,드라마 미스터리 로맨스 스릴러,6.33,7.1,71,,에릭반루이,코엔드보우 플립피터스,
3065,미스테리 공상극장 3000,Mystery Science Theater 3000: The Movie,1996,코미디 SF,0,7,71,,짐맬론,트레이스비류 마이클J.넬슨 짐맬론 케빈머피 존브래디,
742,동거,Together,2000,드라마 코미디 로맨스,7.57,6.8,71,,루카스무디슨,리사린드그렌 미카엘니크비스트,
17908,마이 독 스킵,My Dog Skip,2000,코미디 드라마 가족,8.76,6.5,71,,제이러셀,프랭키무니즈 다이안레인 루크윌슨 케빈베이컨,
11060,유혹은 밤 그림자처럼,Internal Affairs,1990,범죄 드라마,7.79,6.5,71,,마이크피기스,리차드기어 앤디가르시아,
11447,아들의 방,The Son's Room,2001,드라마,8.11,6.3,71,3.5,난니모레티,난니모레티 로라모란테 자스민트린카 주세페산펠리체 실비오올랜도,
13168,스마일리 페이스,Smiley Face,2007,코미디,6.4,6.3,71,,그렉아라키,안나페리스,
45202,하녀,The Housemaid,2010,스릴러 드라마,5.67,6.2,71,3,임상수,전도연 이정재 윤여정 서우," 임상수, 이토록 서늘한 조물주."
15198,미스테리 알라스카,"Mystery, Alaska",1999,드라마 코미디,6.9,6,71,,제이로치,러셀크로우 행크아자리아,
1713,정글 피버,Jungle Fever,1991,드라마 로맨스,7.32,6,71,,스파이크리,웨슬리스나입스 아나벨라시오라 스파이크리 안소니퀸,
12224,다이노토피아,Dinotopia,2002,액션 어드벤쳐 가족 판타지 SF,8.52,5.8,71,,마르코브람빌라,티론레잇소 웬트워스밀러,
9959,프리덤랜드,Freedomland,2006,드라마 스릴러 범죄 미스터리,5.25,5.2,71,,조로스,사무엘L.잭슨 줄리안무어,
20616,위험한 유혹,Swimfan,2002,드라마 스릴러,5.9,5,71,,존폴슨,제시브래포드 에리카크리스틴슨 쉬리애플비,
118309,존 아담스,John Adams,2008,역사 드라마,8.7,7.6,70,,톰후퍼,폴지아마티 로라리니 스티븐딜레인 존도셋,
8276,당신을 오랫동안 사랑했어요,I've Loved You So Long,2008,드라마,8.58,7.1,70,,필립클로델,크리스틴스콧토마스 엘자질버스테인 세르주하자나비시우스 로랑그레빌,
35854,도화선,Flash Point,2007,액션,8.61,6.8,70,,엽위신,견자단 예성 고천락 판빙빙,
10955,리플리스 게임,Ripley's Game,2002,범죄 스릴러,7.36,6.6,70,,릴리아나카바니,레이윈스턴 존말코비치 우웨맨스하트 한스지쉴러 파올로파올로니 모리지오루카 더그레이스콧 에벨리나메가기 키아라카셀리 레나헤디,
374465,다가오는 것들,Things to Come,2016,드라마,8.33,6.5,70,4.5,미아한센러브,이자벨위페르 에디뜨스꼽, 달콤하고 쉬운 해결책에 눈길조차 주지 않는 영화가 주는 신뢰. 무소의 뿔처럼 혼자서 가는 자의 위엄이 주는 감동.
2029,탕기,Tanguy,2001,코미디,8.04,5.8,70,,에티엔샤틸리에즈,사빈느아젬마 앙드레뒤솔리에 에릭베르제,
8319,챕터 27,Chapter 27,2007,드라마,7.23,5.7,70,,J.P.쉐퍼,자레드레토 린제이로한 주다프리드랜더,
18041,가십,Gossip,2000,드라마 미스터리 스릴러,7.51,5.6,70,,데이비스구겐하임,제임스마스던 레나헤디,
9491,블루 스틸,Blue Steel,1990,스릴러,7.15,5.4,70,,캐서린비글로우,제이미리커티스 론실버,
10845,2001 매니악스,2001 Maniacs,2005,코미디 호러,6.45,4.9,70,,팀설리반,로버트잉글런드 제이길스피 마라말콤 딜런에드링턴 지나마리히킨,
14220,스트레인지 와일더니스,Strange Wilderness,2008,코미디,8.1,4.7,70,,프레드울프,제이크아벨 R.J.아담스,
12702,크리터스 3,Critters 3,1991,코미디 호러 SF 스릴러,6.56,4.5,70,,크리스틴피터슨,에이미브룩스 존칼빈 캐서린코르테즈 레오나르도디카프리오 제프리블레이크 돈케이스오퍼,
13852,더 캐슬,The Castle,1997,드라마 코미디,9,7.4,69,,롭시치,마이클카턴 앤테니,
354859,싸반,The Promise,2017,역사 로맨스 드라마,6.55,7.3,69,,소폰사크다피싯,싸와니우툼마,
21946,카운터 언커리,Counter Investigation,2007,스릴러,0,7,69,,프랭크맨쿠소,장뒤자르댕 로랑뤼카스,
20649,클라커즈,Clockers,1995,미스터리 범죄 드라마,8.69,6.8,69,,스파이크리,하비케이틀 존터투로 델로이린도,
4170,트레이드,Trade,2007,드라마 스릴러,8.32,6.8,69,,마르코크로이츠파인트너,케빈클라인 케사르라모스 알리샤바흐레다 폴리나게이탠 케이트델카스틸로,
